geometry_wkt,cluster_id,price_m2,road_name
"LINESTRING (101.6784458 3.1264598, 101.6782747 3.1259981, 101.6781373 3.1256171, 101.6779723 3.1252149, 101.6778096 3.12487, 101.6776122 3.1245076, 101.6774834 3.1243081, 101.6772923 3.1240414, 101.6768986 3.1236085, 101.6764987 3.1232075, 101.6754962 3.1222025, 101.6754133 3.1221168, 101.6751573 3.1218522, 101.6749017 3.1215694, 101.6737445 3.1202886, 101.6734118 3.1199061)",1_kl,5142.857142857143,JALAN BANGSAR
"LINESTRING (101.6933453 3.0854068, 101.6932671 3.0854852, 101.6931144 3.0857938, 101.693082 3.085859, 101.6930002 3.0860237, 101.6929676 3.0860892, 101.6929478 3.086129, 101.6927363 3.0865546, 101.6925198 3.0869596, 101.6920668 3.087831, 101.6920488 3.0878899, 101.6920406 3.0879595, 101.6920476 3.0884073, 101.6920495 3.0885287, 101.6920081 3.0889632, 101.6919576 3.0891648, 101.6917966 3.0894385, 101.691519 3.089812, 101.6912294 3.0901584, 101.6911918 3.0901903, 101.6911273 3.0902174, 101.6910516 3.0902302, 101.6907017 3.0902192, 101.6899169 3.0901946, 101.6897684 3.09019)",5_kl,4000.0,JALAN KUCHAI MAJU 13
"LINESTRING (101.6655017 3.1391439, 101.6654313 3.1390643, 101.6653276 3.1389582, 101.6651927 3.1388041, 101.6649261 3.1385761, 101.6648041 3.1384732, 101.6647252 3.1384155, 101.6646486 3.1383512, 101.6644753 3.1381969, 101.6641456 3.137927, 101.6639625 3.137697, 101.6638125 3.1374772, 101.6635771 3.1371284)",8_kl,6289.308176100629,JALAN KAPAS
"LINESTRING (101.7157482 3.141961, 101.7159263 3.1415228, 101.7159697 3.1413679, 101.7159878 3.1412141, 101.7159765 3.1410467, 101.7159309 3.1408679, 101.7158774 3.1407053, 101.7157803 3.1405025, 101.7157088 3.1403757)",1_kl,5308.641975308642,JALAN BARAT
"LINESTRING (101.7370591 3.1174957, 101.7372788 3.1176385, 101.7373914 3.1177626, 101.737587 3.1179884, 101.7380993 3.11857, 101.738177 3.1186582, 101.738548 3.1191516, 101.7390798 3.1198175, 101.7392348 3.1200013, 101.7396542 3.1205123)",9_kl,3900.0,JALAN 11/91
"LINESTRING (101.7153725 3.0961433, 101.7155141 3.0960393, 101.7156422 3.0959536, 101.715837 3.0958341, 101.7159279 3.0957534, 101.7160083 3.0956617, 101.7160506 3.0955733, 101.7160844 3.0954783, 101.7161374 3.0952873)",9_kl,4419.642857142857,JALAN TASIK PERMAISURI 3
"LINESTRING (101.7180574 3.1632173, 101.7182213 3.163155, 101.718271 3.1631313, 101.7184489 3.1630465, 101.7186886 3.1629082, 101.7187582 3.162865, 101.7187912 3.1628444, 101.7188768 3.1627669, 101.7190532 3.1626072, 101.7191453 3.162494, 101.7192734 3.1623366, 101.7193863 3.1621406, 101.7194094 3.1620879, 101.7196299 3.1615794)",1_kl,3453.4883720930234,JALAN TUN RAZAK
"LINESTRING (101.7359753 3.0931953, 101.7359003 3.0938978, 101.7358916 3.0939773, 101.7358167 3.0946057, 101.7358017 3.0946472, 101.7357599 3.094675, 101.735043 3.0948141, 101.7348146 3.0948387, 101.7347556 3.094828, 101.7347127 3.0947879, 101.7346886 3.0946727, 101.7346725 3.0945977, 101.734651 3.0945281, 101.7345746 3.0942924, 101.7345317 3.0941343, 101.7344981 3.0939736, 101.7344834 3.0938625, 101.7344767 3.093742, 101.7344834 3.0935786, 101.7344995 3.0934648, 101.7345196 3.0933536, 101.7345451 3.0931661, 101.7345625 3.0930724, 101.7345826 3.0930295, 101.7346135 3.0930081, 101.7346591 3.0930028, 101.7350544 3.0930598, 101.7353095 3.0930965, 101.7353992 3.0931104)",12_kl,5306.122448979592,JALAN 15/119
"LINESTRING (101.7316077 3.1341135, 101.7317957 3.1345994, 101.7318738 3.1348012, 101.7319352 3.1349599, 101.7321092 3.1354096, 101.7322011 3.135647, 101.7322508 3.1357755, 101.7322748 3.1358375, 101.7323256 3.1359689, 101.7324047 3.1361732, 101.7324305 3.1362399, 101.7325307 3.1364988, 101.7325849 3.1366388, 101.7326152 3.1367172, 101.7327464 3.1370563, 101.7329158 3.1374939, 101.7329578 3.1376023)",10_kl,4545.454545454545,JALAN PRIA
"LINESTRING (101.6871983 3.1916233, 101.6875006 3.1915797, 101.687585 3.1915583, 101.6876366 3.1915295, 101.6876803 3.1914954, 101.687848 3.1911879, 101.6880497 3.1908629, 101.6881107 3.1907854, 101.6881781 3.1907112, 101.688338 3.1905969, 101.6884211 3.1905541, 101.6886304 3.1905119, 101.6889432 3.1904576, 101.6890533 3.1904514, 101.6893002 3.1904121, 101.6896414 3.19039, 101.6898161 3.1903821)",1_kl,3846.153846153846,JALAN 1/48G
"LINESTRING (101.6880172 3.0681735, 101.6858328 3.0689676)",5_kl,2656.25,JALAN 4/149J
"LINESTRING (101.7307336 3.2058165, 101.730606 3.2058507, 101.7304044 3.2058912, 101.7300518 3.2058476, 101.7297819 3.2057381, 101.7296513 3.205656, 101.729564 3.2055926, 101.7294825 3.2055103, 101.7293854 3.2053873, 101.7292856 3.2052391, 101.7292097 3.2049987, 101.7291931 3.2048503, 101.7291981 3.2046565, 101.7292223 3.2044378, 101.7292284 3.2043306, 101.7292356 3.2042271, 101.7292403 3.2041314, 101.7292444 3.2039898, 101.7292484 3.2038176, 101.7292497 3.2034866, 101.7292166 3.2032573, 101.7291056 3.2026609, 101.7290466 3.202298, 101.7289324 3.2017634, 101.7288931 3.2014814, 101.728869 3.2013573, 101.728791 3.2009111, 101.7287304 3.2006065, 101.7287165 3.2004775)",6_kl,4766.734279918865,JALAN 3/27A
"LINESTRING (101.7354963 3.190815, 101.7354813 3.1907173, 101.7354685 3.1906345, 101.7354057 3.1902183, 101.7353721 3.1899889, 101.7353455 3.1898214, 101.7353232 3.1896395, 101.7353028 3.1894725, 101.7351742 3.1884777, 101.7351474 3.188217, 101.7351356 3.188127)",6_kl,4056.795131845842,JALAN 1/27E
"LINESTRING (101.7425109 3.2005152, 101.7423962 3.2007701, 101.742356 3.20086, 101.7421516 3.2013186, 101.7420562 3.2015163, 101.7419514 3.2017343, 101.7418704 3.2018987, 101.7416855 3.2021387, 101.7413832 3.2024857, 101.7411623 3.2026992, 101.7410791 3.2028109, 101.7410186 3.2028865, 101.740911 3.2030295, 101.7406561 3.2033377, 101.7406366 3.2033611, 101.7406094 3.2033938, 101.7404893 3.203538, 101.740335 3.2036871, 101.7402047 3.2038999, 101.7401559 3.2041246, 101.7401546 3.2042251, 101.7401507 3.2045255, 101.7401448 3.2046788, 101.7400793 3.2048172, 101.7399565 3.204991, 101.7397478 3.2052732, 101.7397254 3.2053035, 101.7395267 3.2055614)",6_kl,3877.5510204081634,JALAN WANGSA PERDANA 3
"LINESTRING (101.6212798 3.1912323, 101.6212886 3.1912045, 101.6213062 3.1911894, 101.6213392 3.191175, 101.6215614 3.1911538, 101.6217081 3.1911549, 101.6217851 3.1911551, 101.6226758 3.1911523)",-1_kl,4010.989010989011,JALAN 1/62C
"LINESTRING (101.7108844 3.0732394, 101.7106373 3.0735514, 101.7106007 3.0736515, 101.7106506 3.0737376, 101.7111015 3.0741327, 101.7111428 3.074167, 101.7115787 3.0745287, 101.7118032 3.074712, 101.7124718 3.0750031, 101.7125093 3.0750008, 101.7125362 3.0749897, 101.7128575 3.07462)",-1_kl,3196.72131147541,JALAN TASIK SELATAN 12
"LINESTRING (101.6710894 3.1232404, 101.6711846 3.1231774, 101.6713133 3.1230797, 101.6714434 3.1230248, 101.6716473 3.1229993, 101.6719142 3.1230261, 101.6720831 3.1230542, 101.6721529 3.1230475, 101.6722092 3.1230379, 101.6722763 3.1230181, 101.6723577 3.1229775)",1_kl,6726.190476190476,JALAN KALOI
"LINESTRING (101.6713679 3.142769, 101.6714908 3.1426774, 101.6717758 3.1424357, 101.6719264 3.1422896, 101.6719675 3.1422309, 101.6720793 3.1420525, 101.6722587 3.1416549, 101.6724132 3.1412248, 101.6725852 3.1406716, 101.6730186 3.1392779, 101.6730769 3.1390903, 101.6731437 3.1388754, 101.6732409 3.1385628, 101.6733188 3.1382765, 101.6733628 3.1379707, 101.673418 3.1376564, 101.6734395 3.1372889, 101.6734537 3.1370462, 101.6734454 3.1366015, 101.673432 3.13558, 101.673417 3.1349198, 101.6733961 3.1345895, 101.6733461 3.1337997, 101.6733181 3.1330955)",8_kl,7812.5,LORONG MAAROF
"LINESTRING (101.6715125 3.1221814, 101.6716365 3.1222982, 101.6723577 3.1229775, 101.67295 3.123536, 101.6731657 3.1237985, 101.6731998 3.1238373, 101.6736262 3.1244445, 101.6737032 3.1245334, 101.6739314 3.124793)",1_kl,5985.294117647059,JALAN TANDOK
"LINESTRING (101.6589367 3.1387688, 101.659206 3.1394703, 101.6592948 3.1396914, 101.6594607 3.1399818, 101.6596449 3.1402471, 101.6598511 3.1404928, 101.6601998 3.1409054, 101.6605953 3.1412418, 101.6607079 3.1413196, 101.6608208 3.1413811, 101.6609622 3.1414546, 101.6611312 3.1415392, 101.6612752 3.1416075, 101.661438 3.1416572, 101.6621051 3.1416113, 101.6621255 3.1416101, 101.662435 3.1415911, 101.6624676 3.1415892, 101.6625162 3.1415862, 101.6628989 3.1415626, 101.6633574 3.1415203, 101.6638378 3.1415057, 101.6647353 3.1414796, 101.6652703 3.1414954, 101.6655887 3.1414275, 101.6656343 3.1414048, 101.6657703 3.141279, 101.6658297 3.1410814, 101.6658535 3.1407292)",8_kl,8686.868686868687,JALAN MEDANG SERAI
"LINESTRING (101.7107398 3.1032642, 101.7104952 3.1038948, 101.7104067 3.104123)",9_kl,4523.809523809524,JALAN SRI PERMAISURI 5
"LINESTRING (101.6765347 3.0863659, 101.6768594 3.0859809, 101.677712 3.0849705)",5_kl,4000.0,JALAN 13/133
"LINESTRING (101.6558547 3.1601632, 101.6559377 3.1598991, 101.6560533 3.159712, 101.6562249 3.1595727, 101.6564374 3.159427)",2_kl,3494.6236559139784,LORONG BASONG
"LINESTRING (101.6843065 3.1631439, 101.6843272 3.1625758, 101.6843629 3.1622533, 101.6843769 3.1621269, 101.6844371 3.1616308, 101.6844918 3.1611138, 101.6844218 3.1610205)",1_kl,4989.247311827957,JALAN 1/63
"LINESTRING (101.7163431 3.1844974, 101.7166172 3.184859, 101.7168538 3.1851419, 101.7170115 3.1853316, 101.7170551 3.1853838, 101.717395 3.1858362, 101.7174645 3.1859287, 101.7176173 3.186145, 101.7176363 3.1861719, 101.7177273 3.1863316, 101.7178237 3.1865823, 101.71794 3.1869463, 101.7179756 3.187289, 101.7179994 3.1875183, 101.7180321 3.1879282)",-1_kl,6513.04347826087,JALAN AYER JERNEH
